Province,City,Number,Lng,Lat
北京市,北京市,22353,116.395645,39.929986
湖北省,武汉市,5468,114.3162,30.581084
天津市,天津市,3767,117.210813,39.14393
江苏省,南京市,5521,118.778074,32.057236
江苏省,苏州市,3002,120.619907,31.317987
陕西省,西安市,4068,108.953098,34.2778
河南省,郑州市,2258,113.649644,34.75661
黑龙江省,哈尔滨市,1432,126.657717,45.773224
安徽省,滁州市,87,118.32457,32.317351
山东省,青岛市,2121,120.384428,36.105215
贵州省,贵阳市,1,106.353814,26.688621
四川省,达州市,60,107.494973,31.214199
浙江省,杭州市,6291,120.219375,30.259244
辽宁省,大连市,1832,121.593478,38.94871
山西省,太原市,989,112.550864,37.890277
广西壮族自治区,南宁市,904,108.297234,22.806493
重庆市,重庆市,3581,106.530635,29.544606
山东省,烟台市,558,121.309555,37.536562
安徽省,安庆市,198,117.058739,30.537898
湖南省,郴州市,118,113.037704,25.782264
广东省,广州市,8788,113.30765,23.120049
山西省,吕梁市,49,111.143157,37.527316
广东省,梅州市,110,116.126403,24.304571
辽宁省,沈阳市,1754,123.432791,41.808645
山东省,菏泽市,99,115.46336,35.26244
上海市,上海市,18052,121.487899,31.249162
广东省,佛山市,682,113.134026,23.035095
湖南省,长沙市,3394,112.979353,28.213478
山东省,济南市,1954,117.024967,36.682785
河南省,南阳市,180,112.542842,33.01142
内蒙古自治区,通辽市,53,122.260363,43.633756
浙江省,台州市,517,121.440613,28.668283
江苏省,南通市,505,120.873801,32.014665
云南省,昆明市,1402,102.714601,25.049153
山东省,聊城市,121,115.986869,36.455829
广西壮族自治区,桂林市,278,110.26092,25.262901
山西省,运城市,109,111.006854,35.038859
四川省,成都市,6030,104.067923,30.679943
广东省,深圳市,5878,114.025974,22.546054
江西省,九江市,216,115.999848,29.71964
内蒙古自治区,赤峰市,94,118.930761,42.297112
河南省,信阳市,165,114.085491,32.128582
福建省,龙岩市,91,117.017997,25.078685
江苏省,无锡市,1254,120.305456,31.570037
广东省,茂名市,94,110.931245,21.668226
河北省,邯郸市,205,114.482694,36.609308
河北省,石家庄市,932,114.522082,38.048958
河北省,保定市,390,115.49481,38.886565
山东省,临沂市,361,118.340768,35.072409
安徽省,合肥市,1616,117.282699,31.866942
浙江省,温州市,1261,120.690635,28.002838
新疆维吾尔自治区,塔城地区,18,83.190128,46.811367
湖北省,荆州市,131,112.241866,30.332591
广东省,河源市,71,114.713721,23.757251
河北省,衡水市,32,115.686229,37.746929
湖南省,岳阳市,167,113.146196,29.378007
江苏省,扬州市,498,119.427778,32.408505
湖南省,湘潭市,228,112.935556,27.835095
辽宁省,葫芦岛市,59,120.860758,40.74303
山东省,济宁市,274,116.600798,35.402122
广东省,东莞市,674,113.763434,23.043024
福建省,厦门市,1947,118.103886,24.489231
河北省,廊坊市,168,116.703602,39.518611
辽宁省,鞍山市,138,123.007763,41.118744
浙江省,嘉兴市,526,120.760428,30.773992
江苏省,镇江市,309,119.455835,32.204409
浙江省,绍兴市,506,120.592467,30.002365
山东省,潍坊市,358,119.142634,36.716115
四川省,内江市,61,105.073056,29.599462
山西省,晋中市,126,112.738514,37.693362
吉林省,长春市,1150,125.313642,43.898338
河南省,开封市,165,114.351642,34.801854
安徽省,阜阳市,140,115.820932,32.901211
云南省,丽江市,67,100.229628,26.875351
江西省,南昌市,1254,115.893528,28.689578
陕西省,汉中市,87,107.045478,33.081569
内蒙古自治区,鄂尔多斯市,87,109.993706,39.81649
福建省,福州市,1689,119.330221,26.047125
陕西省,宝鸡市,112,107.170645,34.364081
江西省,抚州市,66,116.360919,27.954545
甘肃省,武威市,17,102.640147,37.933172
河南省,许昌市,93,113.835312,34.02674
黑龙江省,黑河市,44,127.50083,50.250689
河北省,唐山市,253,118.183451,39.650531
山东省,莱芜市,63,117.684667,36.233654
江西省,宜春市,119,114.400039,27.81113
浙江省,宁波市,1578,121.579006,29.885259
广东省,揭阳市,150,116.379501,23.547999
山西省,大同市,120,113.290509,40.113744
澳门,澳门,360,113.557519,22.204118
江苏省,徐州市,552,117.188107,34.271553
山西省,长治市,105,113.120292,36.201664
广西壮族自治区,梧州市,61,111.305472,23.485395
宁夏回族自治区,银川市,242,106.206479,38.502621
广东省,湛江市,207,110.365067,21.257463
湖北省,恩施土家族苗族自治州,61,109.517433,30.308979
内蒙古自治区,呼和浩特市,428,111.660351,40.828319
江西省,上饶市,142,117.955464,28.457623
江西省,赣州市,290,114.935909,25.845296
浙江省,丽水市,142,119.929576,28.4563
四川省,宜宾市,68,104.633019,28.769675
安徽省,淮北市,65,116.791447,33.960023
安徽省,马鞍山市,152,118.515882,31.688528
云南省,大理白族自治州,193,100.219209,25.693967
湖南省,湘西土家族苗族自治州,47,109.745746,28.317951
河南省,驻马店市,66,114.049154,32.983158
贵州省,铜仁市,36,109.168558,27.674903
广东省,惠州市,385,114.410658,23.11354
贵州省,贵阳市,631,106.709177,26.629907
山西省,临汾市,130,111.538788,36.099745
江苏省,常州市,682,119.981861,31.771397
青海省,西宁市,170,101.767921,36.640739
广西壮族自治区,崇左市,10,107.357322,22.415455
福建省,宁德市,120,119.542082,26.656527
河南省,洛阳市,450,112.447525,34.657368
江苏省,泰州市,194,119.919606,32.476053
湖北省,宜昌市,253,111.310981,30.732758
新疆维吾尔自治区,乌鲁木齐市,505,87.564988,43.84038
湖南省,张家界市,50,110.48162,29.124889
山东省,威海市,269,122.093958,37.528787
广东省,汕头市,487,116.72865,23.383908
湖南省,怀化市,112,109.986959,27.557483
四川省,南充市,101,106.105554,30.800965
甘肃省,兰州市,615,103.823305,36.064226
广东省,中山市,343,113.42206,22.545178
香港,香港,962,114.186124,22.293586
江苏省,连云港市,213,119.173872,34.601549
福建省,泉州市,650,118.600362,24.901652
辽宁省,营口市,77,122.233391,40.668651
江苏省,盐城市,221,120.148872,33.379862
广西壮族自治区,河池市,38,108.069948,24.699521
甘肃省,天水市,45,105.736932,34.584319
山东省,淄博市,348,118.059134,36.804685
河北省,秦皇岛市,223,119.604368,39.945462
湖南省,衡阳市,225,112.583819,26.898164
湖北省,十堰市,109,110.801229,32.636994
海南省,三亚市,132,109.522771,18.257776
河南省,平顶山市,98,113.300849,33.745301
湖南省,益阳市,68,112.366547,28.588088
河南省,周口市,80,114.654102,33.623741
辽宁省,本溪市,46,123.778062,41.325838
西藏自治区,那曲市,12,92.067018,31.48068
湖南省,常德市,170,111.653718,29.012149
海南省,海口市,478,110.330802,20.022071
黑龙江省,伊春市,25,128.910766,47.734686
江苏省,常州市,21,119.903154,31.939946
山西省,朔州市,18,112.479928,39.337672
贵州省,黔西南布依族苗族自治州,29,104.900558,25.095148
广东省,清远市,101,113.040773,23.698469
湖北省,黄石市,123,115.050683,30.216127
浙江省,衢州市,143,118.875842,28.95691
河南省,焦作市,120,113.211836,35.234608
江西省,鹰潭市,39,117.03545,28.24131
吉林省,白山市,34,126.435798,41.945859
河南省,新乡市,176,113.91269,35.307258
陕西省,咸阳市,151,108.707509,34.345373
河南省,三门峡市,49,111.181262,34.78332
广东省,潮州市,128,116.630076,23.661812
江西省,景德镇市,104,117.186523,29.303563
湖北省,孝感市,72,113.935734,30.927955
内蒙古自治区,包头市,212,109.846239,40.647119
辽宁省,阜新市,42,121.660822,42.01925
四川省,遂宁市,51,105.564888,30.557491
安徽省,亳州市,48,115.787928,33.871211
河南省,商丘市,91,115.641886,34.438589
湖北省,黄冈市,83,114.906618,30.446109
山东省,日照市,174,119.50718,35.420225
台湾省,台北市,266,121.520109,25.06303
贵州省,遵义市,146,106.93126,27.699961
广东省,云浮市,28,112.050946,22.937976
安徽省,蚌埠市,160,117.35708,32.929499
江苏省,淮安市,206,119.030186,33.606513
山西省,晋城市,93,112.867333,35.499834
陕西省,安康市,55,109.038045,32.70437
安徽省,淮南市,122,117.018639,32.642812
四川省,绵阳市,225,104.705519,31.504701
福建省,莆田市,110,119.077731,25.44845
广东省,肇庆市,112,112.479653,23.078663
河北省,承德市,81,117.933822,40.992521
福建省,漳州市,183,117.676205,24.517065
云南省,怒江傈僳族自治州,8,98.859932,25.860677
吉林省,吉林市,205,126.564544,43.871988
河北省,张家口市,132,114.893782,40.811188
湖南省,邵阳市,89,111.461525,27.236811
福建省,三明市,115,117.642194,26.270835
浙江省,湖州市,279,120.137243,30.877925
内蒙古自治区,呼伦贝尔市,104,119.760822,49.201636
贵州省,毕节市,30,105.333323,27.408562
浙江省,金华市,496,119.652576,29.102899
广东省,韶关市,112,113.594461,24.80296
山东省,枣庄市,119,117.279305,34.807883
山东省,泰安市,245,117.089415,36.188078
贵州省,六盘水市,37,104.852087,26.591866
四川省,凉山彝族自治州,25,102.259591,27.892393
河北省,沧州市,121,116.863806,38.297615
黑龙江省,大庆市,206,125.02184,46.596708
四川省,自贡市,69,104.776071,29.359157
宁夏回族自治区,固原市,13,106.285268,36.021523
安徽省,六安市,96,116.505253,31.755558
辽宁省,丹东市,98,124.338543,40.129023
北京市,北京市,53,116.364402,39.913884
甘肃省,陇南市,14,104.934573,33.39448
四川省,乐山市,101,103.760824,29.600958
山东省,东营市,164,118.583926,37.487121
四川省,广安市,59,106.63572,30.463984
贵州省,黔南布依族苗族自治州,38,107.523205,26.264536
湖南省,株洲市,226,113.131695,27.827433
四川省,泸州市,80,105.44397,28.89593
江西省,萍乡市,54,113.859917,27.639544
甘肃省,张掖市,20,100.459892,38.93932
河南省,安阳市,139,114.351807,36.110267
辽宁省,锦州市,113,121.147749,41.130879
山东省,滨州市,93,117.968292,37.405314
广东省,汕尾市,69,115.372924,22.778731
陕西省,铜川市,16,108.968067,34.908368
黑龙江省,鸡西市,23,130.941767,45.32154
吉林省,延边朝鲜族自治州,72,129.485902,42.896414
湖南省,娄底市,60,111.996396,27.741073
广西壮族自治区,北海市,63,109.122628,21.472718
四川省,攀枝花市,23,101.722423,26.587571
广东省,珠海市,663,113.562447,22.256915
贵州省,黔东南苗族侗族自治州,45,107.985353,26.583992
安徽省,合肥市,10,117.88049,31.608733
内蒙古自治区,乌海市,47,106.925397,39.296209
湖北省,随州市,24,113.379358,31.717858
云南省,红河哈尼族彝族自治州,50,103.384065,23.367718
云南省,楚雄彝族自治州,31,101.328638,24.880252
甘肃省,酒泉市,4,94.158042,40.388771
甘肃省,酒泉市,34,98.508415,39.741474
西藏自治区,拉萨市,51,91.111891,29.662557
广东省,阳江市,71,111.97701,21.871517
河南省,漯河市,46,114.046061,33.576279
贵州省,安顺市,40,105.92827,26.228595
江西省,吉安市,94,114.992039,27.113848
浙江省,舟山市,169,122.169872,30.03601
甘肃省,临夏回族自治州,6,103.200576,35.585835
安徽省,芜湖市,328,118.384108,31.36602
吉林省,松原市,40,124.832995,45.13605
河南省,濮阳市,67,115.026627,35.753298
四川省,雅安市,34,103.009356,29.999716
辽宁省,铁岭市,39,123.85485,42.299757
海南省,儋州市,8,109.334586,19.574788
吉林省,白城市,25,122.840777,45.621085
湖北省,襄阳市,151,111.949549,31.939713
内蒙古自治区,巴彦淖尔市,42,107.423807,40.76918
安徽省,宿州市,76,116.988692,33.636772
广西壮族自治区,百色市,41,106.631821,23.901512
云南省,西双版纳傣族自治州,26,100.803038,22.009433
宁夏回族自治区,吴忠市,14,106.208254,37.993561
广西壮族自治区,柳州市,212,109.422402,24.329053
云南省,临沧市,13,100.092613,23.887806
安徽省,黄山市,85,118.29357,29.734435
湖南省,永州市,73,111.614648,26.435972
西藏自治区,日喀则市,25,88.956063,29.26816
辽宁省,抚顺市,75,123.92982,41.877304
湖北省,荆门市,46,112.21733,31.042611
新疆维吾尔自治区,,35,86.041865,44.308259
安徽省,池州市,48,117.494477,30.660019
山西省,阳泉市,47,113.569238,37.869529
云南省,迪庆藏族自治州,3,99.713682,27.831029
吉林省,四平市,43,124.391382,43.175525
安徽省,铜陵市,81,117.819429,30.94093
北京市,北京市,12,115.826714,39.701923
广西壮族自治区,防城港市,13,108.351791,21.617398
安徽省,宣城市,75,118.752096,30.951642
山东省,德州市,114,116.328161,37.460826
甘肃省,金昌市,11,102.208126,38.516072
甘肃省,平凉市,14,106.688911,35.55011
四川省,眉山市,46,103.84143,30.061115
云南省,曲靖市,89,103.782539,25.520758
新疆维吾尔自治区,,3,87.565449,44.368899
陕西省,榆林市,52,109.745926,38.279439
陕西省,延安市,34,109.50051,36.60332
四川省,广元市,35,105.819687,32.44104
西藏自治区,阿里地区,24,81.107669,30.404557
